Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
G1,89.000000mm,3.500000mm,Top,0.0,89.000000mm,3.500000mm
G2,72.000000mm,5.500000mm,Top,0.0,72.000000mm,5.500000mm
G3,39.500000mm,49.960000mm,Top,90.0,39.500000mm,49.960000mm
G4,47.120000mm,49.960000mm,Top,90.0,47.120000mm,49.960000mm
J2,10.600000mm,90.725000mm,Top,0.0,10.600000mm,90.725000mm
J3,90.725000mm,79.200000mm,Top,-90.0,90.725000mm,79.200000mm
J4,9.275000mm,25.800000mm,Top,90.0,9.275000mm,25.800000mm
J5,9.275000mm,45.200000mm,Top,90.0,9.275000mm,45.200000mm
J6,98.150000mm,38.000000mm,Top,-90.0,98.150000mm,38.000000mm
J7,83.000000mm,3.000000mm,Top,90.0,83.000000mm,3.000000mm
J8,58.375000mm,4.700000mm,Top,90.0,58.375000mm,4.700000mm
J9,50.000000mm,4.000000mm,Top,0.0,50.000000mm,4.000000mm
J10,60.300000mm,90.725000mm,Top,0.0,60.300000mm,90.725000mm
L1,55.880000mm,79.525000mm,Top,-90.0,55.880000mm,79.525000mm
L2,57.880000mm,79.525000mm,Top,-90.0,57.880000mm,79.525000mm
M1,24.624999mm,1.224999mm,Top,0.0,24.624999mm,1.224999mm
M2,76.474999mm,82.025000mm,Top,-90.0,76.474999mm,82.025000mm
M3,42.275000mm,77.475000mm,Top,-90.0,42.275000mm,77.475000mm
M4,31.225000mm,77.475000mm,Top,-90.0,31.225000mm,77.475000mm
M5,99.425000mm,39.600000mm,Top,90.0,99.425000mm,39.600000mm
M6,79.500010mm,48.200000mm,Top,180.0,79.500010mm,48.200000mm
M7,30.625000mm,54.674998mm,Top,-90.0,30.625000mm,54.674998mm
P1,34.000000mm,57.500000mm,Top,0.0,34.000000mm,57.500000mm
P2,31.000000mm,57.500000mm,Top,0.0,31.000000mm,57.500000mm
P3,62.500000mm,2.500000mm,Top,0.0,62.500000mm,2.500000mm
P4,62.500000mm,7.500000mm,Top,0.0,62.500000mm,7.500000mm
P5,41.200000mm,31.500000mm,Top,0.0,41.200000mm,31.500000mm
P6,43.500000mm,4.500000mm,Top,0.0,43.500000mm,4.500000mm
Q2,26.000000mm,77.500000mm,Top,180.0,26.000000mm,77.500000mm
Q4,26.000000mm,70.000000mm,Top,180.0,26.000000mm,70.000000mm
Q7,22.660000mm,62.500000mm,Top,0.0,22.660000mm,62.500000mm
Q8,22.660000mm,55.500000mm,Top,0.0,22.660000mm,55.500000mm
Q9,22.660000mm,48.500000mm,Top,0.0,22.660000mm,48.500000mm
Q10,22.660000mm,41.500000mm,Top,0.0,22.660000mm,41.500000mm
Q11,22.660000mm,34.500000mm,Top,0.0,22.660000mm,34.500000mm
Q12,22.660000mm,27.500000mm,Top,0.0,22.660000mm,27.500000mm
Q16,34.500000mm,37.500000mm,Top,270.0,34.500000mm,37.500000mm
Q17,34.500000mm,28.500000mm,Top,270.0,34.500000mm,28.500000mm
R4,37.094997mm,79.925000mm,Top,0.0,37.094997mm,79.925000mm
R5,55.000000mm,61.000000mm,Top,-90.0,55.000000mm,61.000000mm
R6,80.500000mm,70.000000mm,Top,-90.0,80.500000mm,70.000000mm
R9,17.125000mm,17.960000mm,Top,-90.0,17.125000mm,17.960000mm
R11,19.500000mm,80.000000mm,Top,0.0,19.500000mm,80.000000mm
R13,19.500000mm,72.500000mm,Top,0.0,19.500000mm,72.500000mm
R14,23.600000mm,8.500000mm,Top,-90.0,23.600000mm,8.500000mm
U1,9.000000mm,17.500000mm,Top,0.0,9.000000mm,17.500000mm
U2,15.625000mm,8.040000mm,Top,0.0,15.625000mm,8.040000mm
U3,75.990000mm,62.700000mm,Top,-90.0,75.990000mm,62.700000mm
U4,56.880000mm,73.800000mm,Top,180.0,56.880000mm,73.800000mm
U5,92.650000mm,21.125000mm,Top,180.0,92.650000mm,21.125000mm
