Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
U9,3.15mm,68.200000mm,Bottom,180.0,3.15mm,68.200000mm
U10,3.15mm,59.450000mm,Bottom,180.0,3.15mm,59.450000mm
U11,3.15mm,50.900000mm,Bottom,180.0,3.15mm,50.900000mm
C11,1.600000mm,17.300000mm,Top,-90.0,1.600000mm,17.300000mm
C12,1.600000mm,14.200000mm,Top,90.0,1.600000mm,14.200000mm
C13,16.725000mm,14.960000mm,Top,-90.0,16.725000mm,14.960000mm
C24,7.600000mm,9.000000mm,Top,-90.0,7.600000mm,9.000000mm
C25,7.600000mm,5.500000mm,Top,90.0,7.600000mm,5.500000mm
C26,23.600000mm,5.500000mm,Top,-90.0,23.600000mm,5.500000mm
D3,19.000000mm,76.500000mm,Top,90.0,19.000000mm,76.500000mm
D5,19.000000mm,69.000000mm,Top,90.0,19.000000mm,69.000000mm
F1,22.800000mm,17.000000mm,Top,-90.0,22.800000mm,17.000000mm
F2,21.000000mm,22.600000mm,Top,0.0,21.000000mm,22.600000mm
F3,20.600000mm,17.000000mm,Top,-90.0,20.600000mm,17.000000mm
F4,18.400000mm,17.000000mm,Top,-90.0,18.400000mm,17.000000mm
G1,89.000000mm,3.500000mm,Top,0.0,89.000000mm,3.500000mm
G2,72.000000mm,5.500000mm,Top,0.0,72.000000mm,5.500000mm
G3,39.500000mm,49.960000mm,Top,90.0,39.500000mm,49.960000mm
G4,47.120000mm,49.960000mm,Top,90.0,47.120000mm,49.960000mm
J1,88.890000mm,89.225000mm,Top,0.0,88.890000mm,89.225000mm
J2,10.600000mm,90.725000mm,Top,0.0,10.600000mm,90.725000mm
J3,90.725000mm,79.200000mm,Top,-90.0,90.725000mm,79.200000mm
J4,9.275000mm,25.800000mm,Top,90.0,9.275000mm,25.800000mm
J5,9.275000mm,45.200000mm,Top,90.0,9.275000mm,45.200000mm
J6,98.150000mm,37.900000mm,Top,-90.0,98.150000mm,37.900000mm
J7,83.000000mm,3.000000mm,Top,90.0,83.000000mm,3.000000mm
J8,58.375000mm,4.700000mm,Top,90.0,58.375000mm,4.700000mm
J9,50.000000mm,4.000000mm,Top,0.0,50.000000mm,4.000000mm
J10,60.300000mm,90.725000mm,Top,0.0,60.300000mm,90.725000mm
J11,80.490000mm,89.225000mm,Top,0.0,80.490000mm,89.225000mm
J12,72.090000mm,89.225000mm,Top,0.0,72.090000mm,89.225000mm
J13,63.690000mm,89.225000mm,Top,0.0,63.690000mm,89.225000mm
J14,13.990000mm,89.225000mm,Top,0.0,13.990000mm,89.225000mm
J15,22.390000mm,89.225000mm,Top,0.0,22.390000mm,89.225000mm
J16,30.790000mm,89.225000mm,Top,0.0,30.790000mm,89.225000mm
J17,39.190000mm,89.225000mm,Top,0.0,39.190000mm,89.225000mm
J18,13.315000mm,77.950000mm,Top,0.0,13.315000mm,77.950000mm
J19,13.315000mm,69.550000mm,Top,0.0,13.315000mm,69.550000mm
J20,13.315000mm,61.150000mm,Top,0.0,13.315000mm,61.150000mm
J21,13.315000mm,52.750000mm,Top,0.0,13.315000mm,52.750000mm
J22,13.315000mm,37.550000mm,Top,0.0,13.315000mm,37.550000mm
J24,89.265000mm,78.350000mm,Top,0.0,89.265000mm,78.350000mm
M1,24.624999mm,1.224999mm,Top,0.0,24.624999mm,1.224999mm
M2,76.974999mm,82.125000mm,Top,-90.0,76.974999mm,82.125000mm
M3,42.275000mm,77.475000mm,Top,-90.0,42.275000mm,77.475000mm
M4,31.225000mm,77.475000mm,Top,-90.0,31.225000mm,77.475000mm
M5,99.425000mm,39.600000mm,Top,90.0,99.425000mm,39.600000mm
M6,79.500010mm,48.200000mm,Top,180.0,79.500010mm,48.200000mm
M7,30.625000mm,54.674998mm,Top,-90.0,30.625000mm,54.674998mm
P1,32.000000mm,57.500000mm,Top,0.0,32.000000mm,57.500000mm
P2,34.900000mm,57.500000mm,Top,0.0,34.900000mm,57.500000mm
P3,62.500000mm,2.500000mm,Top,0.0,62.500000mm,2.500000mm
P4,62.500000mm,7.500000mm,Top,0.0,62.500000mm,7.500000mm
P5,41.600000mm,46.000000mm,Top,0.0,41.600000mm,46.000000mm
P6,39.060000mm,46.000000mm,Top,0.0,39.060000mm,46.000000mm
P7,83.200000mm,24.000000mm,Top,0.0,83.200000mm,24.000000mm
P8,83.200000mm,19.300000mm,Top,0.0,83.200000mm,19.300000mm
P15,5.540000mm,11.500000mm,Top,0.0,5.540000mm,11.500000mm
P16,8.080000mm,11.500000mm,Top,0.0,8.080000mm,11.500000mm
P17,3.000000mm,11.500000mm,Top,0.0,3.000000mm,11.500000mm
P18,23.000000mm,11.000000mm,Top,0.0,23.000000mm,11.000000mm
Q7,22.660000mm,62.500000mm,Top,0.0,22.660000mm,62.500000mm
Q8,22.660000mm,55.500000mm,Top,0.0,22.660000mm,55.500000mm
Q9,22.660000mm,48.500000mm,Top,0.0,22.660000mm,48.500000mm
Q10,22.660000mm,41.500000mm,Top,0.0,22.660000mm,41.500000mm
Q11,22.660000mm,34.500000mm,Top,0.0,22.660000mm,34.500000mm
Q12,22.660000mm,27.500000mm,Top,0.0,22.660000mm,27.500000mm
R1,34.932497mm,79.925000mm,Top,180.0,34.932497mm,79.925000mm
R4,43.474609mm,4.569609mm,Top,-90.0,43.474609mm,4.569609mm
R9,16.725000mm,17.960000mm,Top,-90.0,16.725000mm,17.960000mm
R10,28.600000mm,72.450000mm,Top,180.0,28.600000mm,72.450000mm
R11,30.200000mm,78.350000mm,Top,-90.0,30.200000mm,78.350000mm
R14,23.600000mm,8.400000mm,Top,-90.0,23.600000mm,8.400000mm
R35,94.750000mm,90.500000mm,Top,0.0,94.750000mm,90.500000mm
R36,94.750000mm,88.000000mm,Top,0.0,94.750000mm,88.000000mm
R37,94.750000mm,85.500000mm,Top,0.0,94.750000mm,85.500000mm
R38,98.200000mm,90.500000mm,Top,0.0,98.200000mm,90.500000mm
R39,98.200000mm,88.000000mm,Top,0.0,98.200000mm,88.000000mm
R40,98.200000mm,85.500000mm,Top,0.0,98.200000mm,85.500000mm
U1,9.000000mm,17.500000mm,Top,0.0,9.000000mm,17.500000mm
U2,15.625000mm,8.040000mm,Top,0.0,15.625000mm,8.040000mm
U3,76.013250mm,64.000000mm,Top,-90.0,76.013250mm,64.000000mm
U5,92.650000mm,21.125000mm,Top,180.0,92.650000mm,21.125000mm
U7,25.325000mm,76.865000mm,Top,90.0,25.325000mm,76.865000mm
